User,Tweet
collydoodle,RT @SashieKool: The adults failed him. He was obviously too big for that ride and you can see it’s not secured. #rip #florida #iconpark #sa…
Richarrrd001,One thing I did that was a mistake ! Is say I’m sorry for someone else’s bs mistake 🗣#relationship #sad #FridayFeeling
cocomoco1234567,Here's the funny thing I am a  nobody and he's worried about me just too funny but I guess true colors came out tonight..#sad https://t.co/2NLdgpYsSV
Et3n_YT,"Dating isn’t even worth it anymore, Now people like you for your body not personality 🫠 

#Depresion #fyp #depressed #quotesoftheday #sadboyhours #sad #sadquotes #quotes #et3n_yt"
athenathekid,Gue gagal jalan sendiri karena ujan #sad
BBorbz,RT @Howard_Cole: Meanwhile Bellinger has 10 strikeouts in 15 at bats and is as lost as ever. Pretty soon we’re gonna need a designated hitt…
DeahDipietro,@unionstreetsf ??? How?? #sad
PParchea,FEMALES DON’T EVEN KNOW HOW TO COOK NOWADAYS BUT WANT A BRIKIN BAG… #IMMOB #SAD #ASF
Howard_Cole,Meanwhile Bellinger has 10 strikeouts in 15 at bats and is as lost as ever. Pretty soon we’re gonna need a designated hitter for the center fielder. #Sad #Dodgers
NoRagrets99,@gonzagahottakes @dlynnbergs Fans of 2 seeds that couldn’t get by the 1st/2nd round coming @ me on Twitter. #Sad
botanic_my,RT @DoktorEdin: @klixba #PressFreedom #UN #SAD #EU #UK #Germany #Russia #UnitedNations #Aleppo #USA #antiTrump #genocide #London #France #P…
avenimore1066,Absolutely shocking news @taylorhawkins 😔😔 @foofighters #foofighter #taylorhawkins #sad
mads_always,"Taylor Hawkins, baterista do Foo Fighters, morre aos 50 anos 😢😢
Que triste #sad https://t.co/aweiPZPPKF"
Mass_Spectrum,Check out my latest beat @ https://t.co/iVGZMUwenl                                     #TravisScotttypebeat #emotional #sad #trap #hiphop #orchestral #strings #unsignedartist #independentartist #newrapper #musicproducer  #audioengineer #denver #houston #memphis https://t.co/ecmZOJCklj
lucxs_mon,i dont have internet in my house i have never felt more miserable than this #sad
galactic_ditto,RT @EliteMassager: #comment #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #like…
EliteMassager,#comment #happy #style #life #photo #nature #cute #insta #model #music #travel #likesforlike #girl #selfie #viral  #liker #lfl #yourself #lifestyle #likeback #sad #thoughts #writer #photographer #k #photoshoot #india https://t.co/jJtrpNDtnF
JFSebastian146,RT @DoktorEdin: @klixba #PressFreedom #UN #SAD #EU #UK #Germany #Russia #UnitedNations #Aleppo #USA #antiTrump #genocide #London #France #P…
DeskOfJethro,"@itskyleconner Why is this sad shit coming up in my Twitter? 

Is it like #sad #flex day or something? 

Or is this like the front running indicator that bragging about buying a Kia and Pizza is where the economy is at right now? 🤣"
sugandf,#hindi #love #poetry #shayari #hindiquotes #india #hindipoetry #instagram #hindishayari #quotes #lovequotes #urdupoetry #urdu #writersofinstagram #follow #bollywood #shayar #shayri #writer #motivation #poetrycommunity #sad #life #hindikavita #shayarilover #hindiwriting #bhfyp #mi https://t.co/squ4PffnCb
BradFuerst,Holy shit! RIP Legend. #taylorhawkins #sad #theregoesmyhero
fuckpvrky,@UnassociatedM @nxydo @kaykookiedough i do i cry from the vicious beating my father gives me #sad
